source_db,old_author_id,old_first_name,old_last_name,new_author_id
db1,76,G.,Vernardos,17b2cdf4-7268-5e3b-93a4-88ec54ad814a
db1,77,J.,Ziegler,766e9b8b-5888-5554-8521-89633fb70c07
db1,78,K.-P.,Faenrich,1bcc6515-478a-5fd8-be27-8e743280c1f3
db1,79,C.,Stary,4320cd95-a53f-5123-bb12-ec08e7f25f0e
db1,80,N.,Vidakis,e4b278b7-061a-5369-9e82-679364d1e251
db1,81,E.,Palchetti,a0472c42-c0f9-569f-bdea-ff7a9f0dc464
db1,82,M.,Billi,a169a0ec-ded9-5e09-a35e-8dd83e9bc496
db1,83,J.,Schreck,865c7230-1b70-5f2b-ae2a-516dbbe45c10
db1,84,J.,Fink,70dfc083-02e7-5886-b6f0-74d551d0f114
db1,85,A.,Vindigni,b66d05e9-39ee-5d1b-94e0-f7d8cbbd5a55
db1,86,R.,Lauder,5f860534-9b8b-5535-a763-82d9bc83e6c7
db1,87,E.,Kaasinen,49f549c6-60a4-5e77-ac68-ed109241fc60
db1,88,K.,Kauppila,4e525de1-1d24-5d45-a479-dd12418324d2
db1,89,A.-L.,Salminen,3818a920-96b7-5b4e-9bac-6d74433fa7c4
db1,90,A.,Nill,08bacee6-7ebc-5714-953e-6547c3995423
db1,91,L .,Horelli,ea9fcbb1-0069-58c0-b116-a2a0c6bd777e
db1,92,Veli-Pekka,Raty,4d14f3ba-6c56-5105-8fae-b214e77d4fd5
db1,93,J.,Ahonen,0d096108-53f3-5377-8f93-6c3ad6a7ded2
db1,94,A.,Kalliala,efc5e0a0-f9a6-5a32-85a3-45fc0779332b
db1,95,K.,Nyholm,17e429d0-95a6-57b7-8157-83f24e602837
db1,96,T.,Pulli,cf9c9b99-78f5-5561-9d9f-38b6169cbe65
db1,97,K.,Salomaa,36715814-9979-57a3-942e-dad14c88c010
db1,98,U.,Olsson,8e5928d3-40a6-5046-97de-30679d83663c
db1,99,S.,Haataja,cac2aecf-82bc-5e24-9d1f-7a7f858c2baa
db1,100,M.,Kalogirou,8d268f57-8d4d-50e1-8a57-f50b4b20b246
db1,101,B.,Alders,bfa13911-b0a6-5016-99f1-00313bebdb2f
db1,102,Μ.,Μαραγκουδάκη,9c130102-f914-59a7-a26d-431129349658
db1,103,Olaf,Halm,2e608f95-66cb-5d75-a214-386ceed5ea39
db1,104,J.,Bornschein,7e0dc53c-63e8-5c06-9be2-9d5cd49d4059
db1,105,Pekka,Loula,bbad2b53-cdcf-5051-9876-dd07da90f25b
db1,106,J.,Heimila,848c3f39-9855-5137-9306-9f23555018fb
db1,107,G.,Flouris,cfbd98d3-c71e-5cb8-ae9f-cd568e4eb204
db1,108,Noelle,Carbonell,3171f6df-0d4f-5613-b58d-31e18f02d724
db1,109,,Alfred Kobsa,16fffd1e-fcc3-503f-b357-40a4b0fcfd96
db1,111,C.,Nikolaou,7e6ca7e1-da64-5931-a4be-f87e0025ff37
db1,112,N.,Bevan,0af87232-e5e1-57a0-95d3-d9c2a1ca4088
db1,113,J.,Brewer,aaaee346-2905-5a03-bc4e-ac1d3e1cca4a
db1,114,A.,Galetsas,aa20b3a2-51d7-5ceb-9beb-b2e55e981ab7
db1,115,I.,Iakonidis,51d481bb-8bd4-5318-8a7a-80f8c3b79d20
db1,116,J.,Jacko,c843e861-c002-569e-96d9-6b8c057fd159
db1,117,P.,Jenkins,1b4a6d6d-8013-5fdf-ad0b-2ea3454cd47f
db1,118,A.,Karshmer,3a0afdf9-2218-55d1-afe6-5001fea6673f
db1,119,P.,Korn,1316bec4-fee6-5ca7-98f2-6bf699433085
db1,120,A.,Marcus,64955b98-170b-57bc-9ed2-db60415aad39
db1,121,H.,Murphy,719c9682-1fda-5c01-bf72-8aed4e936a2a
db1,122,G.,Vanderheiden,521c2503-6094-50fe-a2ba-9741c6cccddf
db1,123,A.,Arnold,65208264-4c51-586e-b704-d86c3bd980df
db1,124,D.,Dardailler,417a051a-45ae-5970-aa2b-265d08aed25c
db1,125,C.,Oppermann,93525f58-0482-5fe9-9d36-5ec70db236ca
db1,126,H.,Tamura ,df89a1ff-95f6-5e15-96c4-4e81ff2f535c
db1,127,M.,Tscheligi,40f47022-cfc1-57a5-bb7c-70ad073e6886
db1,128,H.,Ueda,6c99387b-d63c-5269-a836-6a4f987fc043
db1,129,A.,Waern,7a4b1b33-f8f2-5a98-b280-c652749d51e6
db1,130,P.,Hansen,630af5e4-88ec-5b71-8acc-2a19b9345e56
db1,131,P.,Charlier,904b978c-a0bf-57f0-8c5f-2e82c73d2e7c
db1,132,A.,Delvaux,2f7a1499-79c7-5c4f-af83-cbaff0107b4c
db1,133,J.H.,Devlies,1c6d0975-5143-5737-bbfb-9faa10adeecc
db1,134,H.,Eriksson,fa71dffe-f6c7-5333-ad06-fb5bdfc0e269
db1,135,F.,Gremy,c27fe761-0e05-54e6-8805-591a559f2078
db1,136,J.,Hickey,7359cd69-85f0-575e-9435-4157d34c037f
db1,137,P.,Micossi,ab6b694b-3b7f-5350-b343-f877bd86fe36
db1,138,J.L.,Monteagudo,63ed6b1e-2e1d-5bd4-82ef-6ac38764a8a7
db1,139,N.,Rossing,f25e391d-4bf1-5910-a8ef-83b70ae06db6
db1,140,G.,Sanderson,cc418342-e2c9-551b-bf6d-7290609fec80
db1,141,I.,Sannes,0cb3a7f4-6988-5b3e-ae78-6a7bde156fc0
db1,142,K.,Smedema,3f2c1e7c-dd28-5dfd-808d-29f6709ff84f
db1,143,M.,Tolppanen,36ccc5fa-f141-5932-8e9a-ee2b95cfcc83
db1,144,J.H.,Van Bemmel,301e2579-04cf-54a3-82af-79a13c1ec0b6
db1,145,W.,Van Eimeren,2e9b8c0c-130a-57a4-b2e7-a89f4239574d
db1,146,K.,Voge,5139b34e-1e2a-5ecb-b322-ec1627a1d2bf
db1,147,J-C.,Healy,44f70ca5-98f9-5f8f-a955-bb03ac7db9f8
db1,148,P.,Karp,f3150e0c-5700-5c12-bbcd-28a7076b35fb
db1,149,J.,Lacompe,29386da2-8c2a-51d6-8b24-b84396924528
db1,150,P.,Atkinson,78a5ab6b-f8f8-5eb2-9507-174eaa0f1c80
db1,151,L.,Martinelli,b2b0da1f-fa52-5ce0-9c37-3d2e8612688f
db1,152,S.S.,Baig,d65a4ceb-975e-5fab-a8ea-b95990ff56f3
db1,153,Harald,Weber,1fa2748b-0592-5c6a-a13f-6fe06cca75d7
db1,154,M.,Pieper,5731e49b-a1a1-5e7e-b60a-84c690879bba
db1,155,A.,Nabil,0cfa3429-ff10-5a49-bdf2-2f3083a206d5
db1,156,M.F.,Costabile,c9db5f4f-22b6-56d2-ad6f-b85109dfe81e
db1,157,H.,Doare ,468044c8-8b1a-5ed4-b116-88053e18f01a
db1,158,V.,Frank,cb6bedd9-d44a-51ee-867e-ac476c08a904
db1,159,G.,De Moor,8b7d35c1-bcc9-50c7-8ff4-134c381ebf1d
db1,160,M.F.,Story,f7a4afe0-3308-5f11-a0c9-5fbf1089810b
db1,161,G.,Vanderdonckt,a4dc61e8-4f06-5e06-9f0a-39a17958d2ad
db1,162,W.,Dierckx,865bef54-cdf2-5af6-a6c2-741511b8db49
db1,163,L.,Karefylaki ,9b9065fc-6f80-5c56-96df-318772b4c25c
db1,164,Zacharias,Protogeros,3f56227d-1cfb-5884-a237-b04481fc63e8
db1,165,,Leiderman,f43ae89b-a8f8-593c-a3b1-e6e56775540c
db1,166,Frank,Leidermann,09f94686-78a4-5d4c-868a-64be14c96b79
db1,167,S.,Lalis,2b0a9e7f-b608-5136-8491-111353096eb9
db1,168,Alexandros,Mourouzis,c9912160-ebde-5fb5-aa86-2a4ef9e00e8b
db1,169,Stavroula,Ntoa,083fdabf-c7e4-524c-94e6-20cee7c15f7e
db1,170,George,Kartakis,d887dc74-9189-50bb-8463-4ea525578f73
db1,171,Vassilis,Zarikas,11ea1587-4bc5-5472-ba58-0ab215a45c5f
db1,172,George,Papatzanis,2db6877b-773f-59a6-ad28-eb16d4ee04e2
db1,173,Ioannis,Pachoulakis,78d1ae21-d246-5ea5-b31c-0937e88e57bc
db1,174,R.W.,Proctor,c5864d30-fb3d-59bb-a562-1fb9809c5941
db1,175,K.-P.,Vu,2102e279-d00a-5a57-8f30-27261898c6ae
db1,176,Gavriel,Salbendy,6f7ee010-667f-5fcc-8428-9df33e89ae28
db1,177,Gavriel,Salvendy,35b63934-e166-5cc6-b2d5-eb8ca08f6acd
db1,178,H.,Degen,bddf2f6d-ee59-5f79-8439-d96b451acc63
db1,179,X.,Fang,5376569e-812b-5777-811e-12e1f66c4de7
db1,180,J.M.,Flach,fd125ce8-8ebd-5fa0-a4e3-e1b617d09594
db1,181,F.,Sainfort,631019d0-5431-58a4-902c-eda15bc57838
db1,182,S.,Guillen,65ce8361-e71b-58fa-a04a-2bc673d1e68e
db1,183,M.T.,Arredondo,f2ee0e65-66ba-5760-b0a9-bf5e2b9a324d
db1,184,V.,Traver,c4cdcdd7-cd4e-5e2d-aed4-62c6a9694e9a
db1,185,M.A.,Valero,5a0b235f-485d-5e97-a289-b1c51b751961
db1,186,S.,Martin,0df13d99-5688-538c-af3d-80d780d0ebbe
db1,187,A.,Traganitis,da484e30-4c18-593c-a544-a89810254dc5
db1,188,E.,Mantzourani,6a6264c3-d640-5376-9daa-204f724d8ea8
db1,189,A.,Totter,c755eadb-cc32-53af-b2aa-4a7e12dd59c2
db1,190,K.,Karefilaki,7c3596ae-91ad-599b-b069-3c4c074bd433
db1,191,S.,Robinson,9550c825-951f-5242-9c83-50d47b5ae25d
db1,192,Emmanuel,Boutsakis,0f1a0915-dec5-517a-8233-678837cafff8
db1,193,Evangelos,Boutsakis,0fb5f305-9d5a-59e6-b001-d2d5a4150271
db1,194,Maria,Filou,120a1ac5-2ba4-5090-9068-0117b9a49afc
db1,195,Panayotis,Papadakos,c158cec5-a8a1-5116-99ca-d6a58c4a1883
db1,196,Panayotis,Karampelas,286f1e43-8880-598c-877f-ee0eeb9fe0ec
db1,197,Stella,Vourou,1d4e7bc1-9a9a-5f9c-b7b2-16b030a6b348
db1,198,George,Malathrakis,a58b6f54-452e-5478-9aca-d17d1e0bcecf
db1,199,Stathis,Triantafyllou,b82180d0-6b9a-545e-9d6b-07edb44f2934
db1,200,M.,Tsiknakis,b87fa981-81a0-55d7-9f2c-8b82cf71ffc3
db1,201,D.,Anthoulakis,09f95313-ffd4-5c5f-9119-746c7279ae32
db1,202,C.,Alexandraki,d33504cc-a619-5f00-9269-76f8ed61e8d4
db1,203,I.,Segkos,852f7b1b-6381-5360-95bb-9f45fd453d96
db1,204,L.,Burzagli,15bf0270-6c91-5c4c-8da8-f12f5d0160c1
db1,205,A.,Karypidis,eb957230-dfc6-516f-b7f9-1e887b14f5c4
db1,206,C.,Buhler,c5a5ea96-fbb0-55e9-a8b1-dc6a640b37b5
db1,207,I.,Basdekis,ba646137-e753-55a2-b6f0-01de41227dd1
db1,208,Ioannis,Georgalis,bd306c41-7495-5316-8d97-2be07441f83f
db1,209,Iosif,Klironomos,c4e13cf9-ac97-5d23-bd1d-e9eac04da7d5
db1,210,Ilias,Iakovidis,ac40a996-335f-581e-a8f8-6cb41d967ce1
db1,211,M.,Maybury,b4e58289-8892-5a1d-888d-cdc4b53966fc
db1,212,R.,Engelbrecht,9f774dce-74a4-5f2b-824b-166c4fa375f5
db1,213,D.,Kalra,8b24ff2d-a879-5e38-af99-1ed3b14f78dd
db1,214,G.,Freriks,1edc53b6-91d0-5b7c-912a-5f292d86ff08
db1,215,Constantina,Doulgeraki,eb025dd7-75f6-5941-bcdd-638807fe7fb6
db1,216,Nikos,Partarakis,16bcde49-7a15-5eb9-b59d-9cc3a8efb5b8
db1,217,A.,Hatziantoniou,df23cbd8-7b4e-5fd4-aa30-21609e859b9a
db1,218,V.,Neroutsou,9deeb245-6359-510a-b7a0-581ae9230dc2
db1,219,L.,Schilders,7d6c833a-7e95-5eb7-8fa0-3241091a4757
db2,1,Constantine,Stephanidis,58ab64cb-4629-5b8d-98fe-bc4802df2130
db2,2,Demosthenes,Akoumianakis,f6068d1e-3e51-5540-8a43-b62a3b23fc45
db2,3,Anthony,Savidis,1ae1ee28-7d5e-53af-b226-78cdc6526427
db2,4,Charalampos,Karagiannidis,9b45f6cb-4e59-55bc-aab7-0675cbeca2f5
db2,5,Michael,Sfyrakis,ca475e93-f502-5980-96a9-31e882116d7f
db2,6,George,Paparoulis,8f3d7ed3-44db-5786-b30c-98ac89336589
db2,7,Margherita,Antona,583922dc-cbd2-50e0-ba2d-488830df4218
db2,8,Nikos,Vernardakis,2e2038a7-d2b8-53c6-814a-0127cf2a9c4e
db2,9,Michael C.,Fairhurst,0c8cd36a-8f68-58a5-be01-a224443372a4
db2,10,M.,Bonaventura,b9d8de65-74c7-5b02-ae91-9d2366daed05
db2,11,Gregory,Homatas,6548dfe6-6f2d-53c1-8746-0eff646256cd
db2,12,Natassa,Spyridou,a875dbf2-903e-5d05-ba77-1a3abfe3603d
db2,13,Gerhard,Weber,3ae912ed-641c-5e18-ae79-dce4342d5017
db2,14,Frank,Deconinck,13feef5d-5578-5744-9b74-7579ce0dc590
db2,15,D.,Kochanek,8663e22b-b8eb-5721-9d92-f1c456ed3563
db2,16,Claire,Lidaki,91a58991-c8ff-5947-8765-af361a0cf516
db2,17,Lena,Marinaki,299d06c4-9e7b-5bb2-b7e3-03413628602e
db2,18,Maria,Papadopoulou,a22bfda6-fcd7-5fd6-ad6d-48ab2e055edd
db2,19,Adamantios,Koumpis,bce4d877-4006-5ad7-82a1-af9550fd01be
db2,20,Panayiotis,Galatis,f5ef7092-9534-5b60-b6d2-8b51cb1fe9b4
db2,21,George,Vareltzis,595c6891-e8d7-5855-b255-f32afe25df44
db2,22,M.,Soede,a4802ab6-e9f4-5c61-b292-0a50c31bd344
db2,23,P.A.M.E.,Crombag-Roben,25187a77-6ffe-5f2f-ad18-b0edc610b4f1
db2,24,H.,Knops,f73618dd-e0a1-58bf-9c7d-e841a3ac6753
db2,25,P.L.,Emiliani,316d020d-907b-5d2d-b861-7530f249d704
db2,26,Ritsa,Gogoulou,a62ceac7-5bbd-52db-a885-8a32644a62ad
db2,27,Yannis,Mitsopoulos,830f331a-ccc7-5c89-8d93-514e0c1178bd
db2,28,Demetrios,Grammenos,470abcd5-f78c-52e7-97ec-5abb62bbf9e0
db2,29,Helen,Petrie,2cff1a9e-7bc2-5192-9688-3c7f786d6aa8
db2,31,S.,Morley,12f44eef-533e-58e6-9fd5-8d4f98044615
