"BookTopicID","TopicID","BookID"
"2234","1","1"
"2235","1","2"
"2236","42","3"
"2237","89","4"
"2238","14","5"
"2241","7","8"
"2242","5","9"
"2243","5","10"
"2244","5","11"
"2245","8","12"
"2246","8","13"
"2247","8","14"
"2248","216","15"
"2249","10","16"
"2250","265","17"
"2251","265","18"
"2252","9","19"
"2253","12","20"
"2254","13","21"
"2255","14","22"
"2256","15","23"
"2257","14","25"
"2258","15","26"
"2259","15","27"
"2260","15","28"
"2261","15","29"
"2262","15","30"
"2263","9","31"
"2264","9","32"
"2265","16","33"
"2266","14","34"
"2267","116","35"
"2268","15","36"
"2269","18","37"
"2270","19","38"
"2271","20","39"
"2272","21","40"
"2273","21","41"
"2274","22","42"
"2275","5","43"
"2276","23","44"
"2277","23","45"
"2278","24","46"
"2279","25","47"
"2280","92","48"
"2281","10","49"
"2282","27","50"
"2283","27","51"
"2284","27","52"
"2285","27","53"
"2286","28","54"
"2287","47","55"
"2288","29","56"
"2289","29","57"
"2290","10","58"
"2291","30","59"
"2292","80","60"
"2293","31","61"
"2294","3","62"
"2295","22","63"
"2296","181","64"
"2297","34","65"
"2298","27","66"
"2299","42","67"
"2300","36","68"
"2301","25","69"
"2302","37","70"
"2303","10","71"
"2304","38","72"
"2305","8","73"
"2306","39","74"
"2307","53","75"
"2308","12","76"
"2309","10","77"
"2310","68","78"
"2311","42","79"
"2312","42","80"
"2313","22","81"
"2314","262","82"
"2315","46","83"
"2316","47","84"
"2317","48","85"
"2318","49","86"
"2319","24","87"
"2320","23","88"
"2321","51","89"
"2322","10","90"
"2323","25","91"
"2324","25","92"
"2325","25","93"
"2326","25","94"
"2327","10","95"
"2328","10","96"
"2329","52","97"
"2330","52","98"
"2331","15","99"
"2332","52","100"
"2333","52","101"
"2334","52","102"
"2335","53","103"
"2336","53","104"
"2337","54","105"
"2338","108","106"
"2339","26","107"
"2340","56","108"
"2341","20","109"
"2342","20","110"
"2343","57","111"
"2344","7","112"
"2345","58","113"
"2346","59","114"
"2347","37","115"
"2348","203","116"
"2349","61","117"
"2350","15","118"
"2351","15","119"
"2352","22","120"
"2353","22","121"
"2354","22","122"
"2355","22","123"
"2356","116","124"
"2357","63","125"
"2358","257","126"
"2359","64","127"
"2360","64","128"
"2361","64","129"
"2362","64","130"
"2363","64","131"
"2364","64","132"
"2365","64","133"
"2366","64","134"
"2367","266","135"
"2368","266","136"
"2369","266","137"
"2370","266","138"
"2371","266","139"
"2372","66","140"
"2373","66","141"
"2374","267","142"
"2375","267","143"
"2376","267","144"
"2377","24","145"
"2378","10","146"
"2379","25","147"
"2380","250","148"
"2381","23","149"
"2382","10","150"
"2383","7","151"
"2384","254","152"
"2385","10","153"
"2386","10","154"
"2387","70","155"
"2388","71","156"
"2389","71","157"
"2390","72","158"
"2391","73","159"
"2392","116","160"
"2393","75","161"
"2394","75","162"
"2396","140","164"
"2397","15","165"
"2398","31","166"
"2399","250","167"
"2400","68","168"
"2401","78","169"
"2402","15","170"
"2403","15","171"
"2404","92","172"
"2405","79","173"
"2406","10","174"
"2407","22","175"
"2408","89","176"
"2409","22","177"
"2410","9","178"
"2411","29","179"
"2412","196","180"
"2413","42","181"
"2414","63","182"
"2415","53","183"
"2416","14","184"
"2417","22","185"
"2418","80","186"
"2419","81","187"
"2420","82","188"
"2421","83","189"
"2422","15","191"
"2423","46","192"
"2424","37","193"
"2425","80","194"
"2426","5","195"
"2427","53","196"
"2428","80","197"
"2429","29","198"
"2430","42","199"
"2431","26","200"
"2432","22","201"
"2433","85","202"
"2434","86","203"
"2435","72","204"
"2436","196","205"
"2438","71","207"
"2439","15","208"
"2440","89","209"
"2441","90","210"
"2442","22","211"
"2443","5","212"
"2444","92","213"
"2445","15","214"
"2446","23","215"
"2447","9","216"
"2448","83","217"
"2449","83","218"
"2450","89","219"
"2451","90","220"
"2452","42","221"
"2453","89","222"
"2454","5","223"
"2455","10","224"
"2456","15","225"
"2457","5","226"
"2458","42","227"
"2459","14","228"
"2460","7","229"
"2461","29","230"
"2462","10","231"
"2463","42","232"
"2464","26","233"
"2465","93","234"
"2466","93","235"
"2467","93","236"
"2468","93","237"
"2469","93","238"
"2470","93","239"
"2471","93","240"
"2472","93","241"
"2473","93","242"
"2474","93","243"
"2475","93","244"
"2476","93","245"
"2477","93","246"
"2478","93","247"
"2479","93","248"
"2480","93","249"
"2481","93","250"
"2482","93","251"
"2483","94","252"
"2484","93","253"
"2485","93","254"
"2486","93","255"
"2487","93","256"
"2488","93","257"
"2489","94","258"
"2490","94","259"
"2491","94","260"
"2492","94","261"
"2493","93","262"
"2494","93","263"
"2495","93","264"
"2496","95","265"
"2497","96","266"
"2498","97","267"
"2499","97","268"
"2500","97","269"
"2501","97","270"
"2502","94","271"
"2503","94","272"
"2504","94","273"
"2505","94","274"
"2506","94","275"
"2507","94","276"
"2508","94","277"
"2509","94","278"
"2510","94","279"
"2511","94","280"
"2512","94","281"
"2513","94","282"
"2514","94","283"
"2515","94","284"
"2516","97","285"
"2517","97","286"
"2518","97","287"
"2519","97","288"
"2520","97","289"
"2521","97","290"
"2522","97","291"
"2523","97","292"
"2524","97","293"
"2525","97","294"
"2526","98","295"
"2527","94","296"
"2528","96","297"
"2529","96","298"
"2530","268","299"
"2531","268","300"
"2532","268","301"
"2533","268","302"
"2534","268","303"
"2535","96","304"
"2536","96","305"
"2537","96","306"
"2538","96","307"
"2539","269","308"
"2540","269","309"
"2541","270","310"
"2542","270","311"
"2543","96","312"
"2544","100","313"
"2545","100","314"
"2546","100","315"
"2547","22","316"
"2548","12","317"
"2549","140","318"
"2550","101","319"
"2551","92","320"
"2552","207","321"
"2553","9","322"
"2554","25","323"
"2555","197","324"
"2556","103","325"
