author_id,first_name,last_name
8ffa94f1-3aee-5b69-9c01-0972ae6428d8,J.,Ekberg
54778661-f172-565e-85e0-0973bf35cc95,K.,Nordby
0b8c525d-f713-5733-9216-10ca93926aff,G.,Jansson
801246f6-5e54-585e-a0f7-4a241e488889,H.,Hamailainen
c57d8ea7-4b44-5241-8772-62caa3b46022,C.R.,Cavonius
0c1d7d0d-f252-5277-a8f3-8878f9cae3e1,J.,Engelen
c9121b41-a0a7-524a-9d56-19bc2e85fe46,B.,Allen
125ced7d-6c20-5ce1-9917-212bcd5932ca,Ramon Puig,de la Bellacasa
136e340a-4c45-55e9-a09e-d6c0541c2d8c,A.S.,Pereira
c106a6e7-05fa-53c1-8bac-9d9d86261c33,Stephen,von Tetzhner
f2142956-41d9-5821-9c29-501c3035dcb0,Marco,Mercinelli
5ecc833e-0d61-5319-96a8-05b35e44c9c4,Gunnar,Hellstroem
6f17389b-b2f9-573f-aab4-241ee73f648c,A.,Spaepen
36f194dd-ad13-517f-875e-2164133c63a8,A.,Georgiou
10c0a5d7-76e5-5ad5-ba08-4bc5929b8037,Panos,Trahanias
7fe27dbb-8775-5ba0-a4bd-15dc260a2c3d,Adam,Leventis
5b799e33-d58b-5ef7-ba1a-17a2735fda9d,Napoleon,Maou
ae8c17c5-c16b-5b96-ad8b-7e83070cdaf5,N.,Psaroudakis
408b9b20-e30b-5cff-b7b0-36198d0200b8,E.,Lagoudaki
b1670175-ba72-5af5-a5c6-17b3fe80885c,A.,Korte
d93e8443-848c-5712-8caa-120790ee054b,K.,Crispien
6f10228e-f5dd-51a0-98e5-e69fd4451207,G.,Salvendy
17b2cdf4-7268-5e3b-93a4-88ec54ad814a,G.,Vernardos
766e9b8b-5888-5554-8521-89633fb70c07,J.,Ziegler
1bcc6515-478a-5fd8-be27-8e743280c1f3,K.-P.,Faenrich
4320cd95-a53f-5123-bb12-ec08e7f25f0e,C.,Stary
e4b278b7-061a-5369-9e82-679364d1e251,N.,Vidakis
a0472c42-c0f9-569f-bdea-ff7a9f0dc464,E.,Palchetti
a169a0ec-ded9-5e09-a35e-8dd83e9bc496,M.,Billi
865c7230-1b70-5f2b-ae2a-516dbbe45c10,J.,Schreck
70dfc083-02e7-5886-b6f0-74d551d0f114,J.,Fink
b66d05e9-39ee-5d1b-94e0-f7d8cbbd5a55,A.,Vindigni
5f860534-9b8b-5535-a763-82d9bc83e6c7,R.,Lauder
49f549c6-60a4-5e77-ac68-ed109241fc60,E.,Kaasinen
4e525de1-1d24-5d45-a479-dd12418324d2,K.,Kauppila
3818a920-96b7-5b4e-9bac-6d74433fa7c4,A.-L.,Salminen
08bacee6-7ebc-5714-953e-6547c3995423,A.,Nill
ea9fcbb1-0069-58c0-b116-a2a0c6bd777e,L .,Horelli
4d14f3ba-6c56-5105-8fae-b214e77d4fd5,Veli-Pekka,Raty
0d096108-53f3-5377-8f93-6c3ad6a7ded2,J.,Ahonen
efc5e0a0-f9a6-5a32-85a3-45fc0779332b,A.,Kalliala
17e429d0-95a6-57b7-8157-83f24e602837,K.,Nyholm
cf9c9b99-78f5-5561-9d9f-38b6169cbe65,T.,Pulli
36715814-9979-57a3-942e-dad14c88c010,K.,Salomaa
8e5928d3-40a6-5046-97de-30679d83663c,U.,Olsson
cac2aecf-82bc-5e24-9d1f-7a7f858c2baa,S.,Haataja
8d268f57-8d4d-50e1-8a57-f50b4b20b246,M.,Kalogirou
bfa13911-b0a6-5016-99f1-00313bebdb2f,B.,Alders
9c130102-f914-59a7-a26d-431129349658,Μ.,Μαραγκουδάκη
2e608f95-66cb-5d75-a214-386ceed5ea39,Olaf,Halm
7e0dc53c-63e8-5c06-9be2-9d5cd49d4059,J.,Bornschein
bbad2b53-cdcf-5051-9876-dd07da90f25b,Pekka,Loula
848c3f39-9855-5137-9306-9f23555018fb,J.,Heimila
cfbd98d3-c71e-5cb8-ae9f-cd568e4eb204,G.,Flouris
3171f6df-0d4f-5613-b58d-31e18f02d724,Noelle,Carbonell
16fffd1e-fcc3-503f-b357-40a4b0fcfd96,,Alfred Kobsa
7e6ca7e1-da64-5931-a4be-f87e0025ff37,C.,Nikolaou
0af87232-e5e1-57a0-95d3-d9c2a1ca4088,N.,Bevan
aaaee346-2905-5a03-bc4e-ac1d3e1cca4a,J.,Brewer
aa20b3a2-51d7-5ceb-9beb-b2e55e981ab7,A.,Galetsas
51d481bb-8bd4-5318-8a7a-80f8c3b79d20,I.,Iakonidis
c843e861-c002-569e-96d9-6b8c057fd159,J.,Jacko
1b4a6d6d-8013-5fdf-ad0b-2ea3454cd47f,P.,Jenkins
3a0afdf9-2218-55d1-afe6-5001fea6673f,A.,Karshmer
1316bec4-fee6-5ca7-98f2-6bf699433085,P.,Korn
64955b98-170b-57bc-9ed2-db60415aad39,A.,Marcus
719c9682-1fda-5c01-bf72-8aed4e936a2a,H.,Murphy
521c2503-6094-50fe-a2ba-9741c6cccddf,G.,Vanderheiden
65208264-4c51-586e-b704-d86c3bd980df,A.,Arnold
417a051a-45ae-5970-aa2b-265d08aed25c,D.,Dardailler
93525f58-0482-5fe9-9d36-5ec70db236ca,C.,Oppermann
df89a1ff-95f6-5e15-96c4-4e81ff2f535c,H.,Tamura
40f47022-cfc1-57a5-bb7c-70ad073e6886,M.,Tscheligi
6c99387b-d63c-5269-a836-6a4f987fc043,H.,Ueda
7a4b1b33-f8f2-5a98-b280-c652749d51e6,A.,Waern
630af5e4-88ec-5b71-8acc-2a19b9345e56,P.,Hansen
904b978c-a0bf-57f0-8c5f-2e82c73d2e7c,P.,Charlier
2f7a1499-79c7-5c4f-af83-cbaff0107b4c,A.,Delvaux
1c6d0975-5143-5737-bbfb-9faa10adeecc,J.H.,Devlies
