book_topic_id,topic_name
988e48df-b7e6-5f16-a9ea-e298d1274f06,PC Tools
6c692bab-023e-5933-81b3-c1d336cc52db,BICEPS
85211233-d2c4-5954-abc0-ef738c0cc609,TIDE/ACCESS
f3c05b68-cd63-51a1-8c27-ddddd3134572,Signal Processing
ffd870db-11cd-5589-97db-78badd4c3cbe,DELTA
56c464b6-40d8-5329-89d9-fec1b584983b,RISE
43770e2b-aeb6-5843-9548-5caee3d62d97,RACE/DRIVE/DELTA/AIM
70934ea4-00d4-5576-81c5-1dc41541ca1a,DRIVE
1f99fdf6-886b-5da7-8aaf-88c55672d5c6,MS-DOS
73a0b376-b29b-540b-8eaa-a001bce4774e,Corel Draw
169a4230-6b4d-5514-924f-9d1af8ebf842,Mouse
cbd34fa4-2784-5a3f-bfea-38247e176f1a,Sound Card
0314b92b-fa23-58a6-8f30-01116bb832e7,Business
1bc7c897-4b25-5adb-acb8-5a63e761a8d6,Rehabilitation Engineering
89a3cbd7-fba6-5297-912d-a19daa638554,UNIX Operating System
0dbd024b-060b-5446-942b-a8d6cdbf066f,TIDE/GUIB
21be4c43-d365-571e-96a2-6caf251c086c,Health Care
ea1ef460-30b5-592b-a38b-ab39a26f6138,Telematics
46af520c-973f-5429-8a13-5d142ae53257,Cognitive Science
f7992b63-69f0-53e3-98a9-da07f81b4b4c,Windows Programming
18cb8fd0-06d7-5cb1-a3bb-8e0e8bddaa66,Braille
660032b0-8b9d-5ed4-949e-a4d3b2f65e25,Visual Languages
d0cb1826-7711-5e89-b689-eb3e20aad37a,Visual Systems
73fd3a79-55ea-5b4e-8524-0718e6226636,Image Processing
29acf4d5-24ac-5aa0-b774-2bfdb77982f5,Systems Design
00dc00c4-0ffc-5941-8c2f-f37a7ca3658f,Serpent System
e55ee1b5-d950-579f-bdf2-1892ce328273,Printers
8417edff-c3a8-5fcd-9c52-d30aa9a2d196,ICAP Directory
590254c0-8f81-5b27-a8c4-2219221c265a,Software Management
10a9b7d4-afd3-5ed9-bd3d-abce0a8edd94,Systems Engineering
32120606-4aca-5b96-a7f9-5c7c86ec8d44,Mathematics
84e9476a-6a90-54d6-a5b6-5c536d7950f0,Authorware
86825b1e-c018-57c9-9559-dba7a3484744,Backup
5054dc67-cba0-5c08-8770-86358f8946fe,Digital Systems
75110fb6-d499-58d4-89cd-bf841904f807,Modem
92b6a8c0-e80a-55a9-82c0-c9c2fb23ec4a,Microsoft Visual C
3e08805e-8e8e-5b22-9409-3e3e799c3fba,Microsoft Windows
e814686c-e126-5fd2-97d4-8da6312369dc,Microsoft MASM
8e97dd05-f635-53d4-882c-9cc469e0d76f,Microsoft Visual C++
afa8f60f-7904-559f-8ad2-8a909b2e39f7,Microsoft Visual Basic
41135a81-dee2-54c8-97da-afcf3e9a98c6,Microsoft Windows NT
989b5f21-4e95-53cc-abd2-07f9bd529cc5,S/W Documentation
68a372d2-1598-55a6-af1f-fc1518027a71,RTLink/Plus
11d41900-9c1d-56d8-aef0-0ffc1269b328,Voice Processing
aa6e448d-1f84-5846-ab36-75d555b9869e,TIDE/COST
a7697693-c6b6-5576-98b1-5b1edfd28b02,SAS Software
eb62d801-9044-5285-9ca9-66edb88417ef,WorldToolKit for Windows
d50d12c3-617d-5445-8415-480645f04671,Speech Recognition Systems
f2ebb930-7beb-5b39-8d90-8504a89cd41f,XENIX
5f28c240-d61c-5134-b848-e2780421a1f1,TIDE/HEART
3f9bbb6c-f51a-5f3b-b1ae-8dd762704ebb,WordPerfect
1a6f378a-a637-56f8-9de6-2d80d876f09f,Programming Languages
b05024bb-5251-542c-afdd-c2850afc6535,Knowledge Representation
3a00d95c-e5da-540f-87d2-151dd5b17d6d,Focus Groups
8fe90597-f5c9-5fd5-8317-80f7c3eff4a8,Digital Libraries
0e3dec8d-3dbb-5b91-b871-5f968161135b,Software Evaluation
42aaf205-7826-56ae-8f79-d83cba64dc5d,Computer Supported Cooperative Work
10cbfe1e-cc3d-52f4-a222-a922c9369891,Microprocessors
9c368d45-b82e-5874-bf5a-822397eb6a8d,Electronic Commerce
9a633ede-62a5-509f-9bd8-4f7f12ab4db4,Software Reuse
eb7ab30b-36ee-530b-85fa-3c28ff275a4b,Internet
096363f3-6597-510c-a546-f972ab2e1ecb,Audio-Visual
a44e4b8f-f2f1-53c1-86d7-0ff9acaa7069,Speech Reading
0f68cf46-661e-59f9-955f-509ec17ec2fc,Information Society
8974f26f-318a-57e2-8a27-34531211ba3f,Software Quality Management
c9f5397d-8b51-5f96-8131-94f380ea2c2c,Quality Control
5faff9af-291c-5ad2-840d-a968cf6f8f1f,Standards
d9bee4cf-bfc4-5634-b01d-f037753a5695,Dynamical Systems
855f82c0-e1a0-55f5-a04a-166912bd8205,Basic
40051908-f8b3-587a-878f-e961e386a67b,Multimedia Programming
bf8b25da-3240-535f-980a-c903a666ad62,Work Groups
b1719d10-8cd2-5212-b49d-83abeac45056,Scriptwriting
0c2c0f80-0755-5f35-8ab2-02650b7932de,Metaphors
46c8014c-ac52-55ed-9eb0-e6d4b861d608,Groupware
50008cec-59d5-5c21-959d-59282139b761,Agents
36a461ba-b114-5ff9-8fc9-e86abac37fd6,Lecture Notes in Artificial Intelligence
