"BookID","Title","Theme","Category","Publisher","PublicationYear","ISBN","CoverType","Origin","Shelf","CopiesNo","FotocopiesNo","Includes"
"37","Η Εργοθεραπεία στην Ελλάδα Σήμερα Προοπτικές για το Μέλλον","Πρακτικά 1ου Πανελληνίου Συνεδρίου Εργοθεραπείας","proceedings","Σύλλογος Ελλήνων Εργοθεραπευτών","1990","","paperback","CS","G117","1","0",""
"38","","Σκοπός του κώδικα είναι να προσφέρει συνοπτικά βασικές πληροφορίες για τους φορείς παροχής κοινωνικών υπηρεσιών όλης της χώρας","book","Υπουργείο Υγείας, Πρόνοιας και Κοινωνικών Ασφαλίσεων","1986","","spiral","CS","box Θέματα Πρόνοιας","0","1",""
"39","Οδηγίες Χρήσης και Συντήρησης Μονάδα Αδιάλειπτης Παροχής Ισχύος","Περιέχει οδηγίες εγκατάστασης και οδηγίες χρήσης του UPS.","manual","American Power Conversion","","","paperback","RTI Lab.","RACE-LIB","0","2",""
"40","ASSETS '94 The First Annual ACM Conference on Assistive Technologies","Proceedings of the 1st Annual ACM Conference on Assistive Technologies, ASSETS '94 was held in Doubletree Marina del Rey Hotel Los Angeles, California from Octber 31 to November 1, 1994.","proceedings","ACM Press","1994","0897916492","spiral","CS","G122","0","1",""
"41","ASSETS '96 The Second Annual ACM Conference on Assistive Technologies","Proceedings of the 2nd Annual ACM Conference on Assistive Technologies, ASSETS '96 was held in Waterfront Centre Hotel Vancouver, British Coloumbia, Canada from April 11-12, 1996.","proceedings","ACM Press","1996","0897917766","paperback","CS","G122","2","0",""
"42","Integrating Technology into Computer Science Education","This volume contains all the papers, panels, demonstrations, and posters presented at the 1st SIGCSE/SIGCUE Conference on Integrating Technology into Computer Science Education, held in Barcelona Spain June 2-6, 1996.","proceedings","ACM Press","1996","0897918444","paperback","CS","G121","1","0",""
"43","International Conference on Multimedia Information Systems '91","Proceedings of the International Conference on Multimedia Information Systems '91","proceedings","McGraw-Hill","1991","0071006605","hardbound","CS","","1","0",""
"44","Computational Geometry : Tenth Annual Symposium","This volume contains papers presented at the Tenth Annual Symposium on Computational Geometry, held June 6-8, 1994, in Stony Brook, New York.","proceedings","ACM Press","1994","0897916484","paperback","CS","G121","1","0",""
"45","Computational Geometry : Eleventh Annual Symposium","This volume contains papers presented at the Eleventh Annual Symposium on Computational Geometry, held June 5-7, 1995 in Vancouver, Canada.","proceedings","ACM Press","1995","0897917243","paperback","CS","G121","1","0",""
"46","Emerging Trends in Database and Knowledge Base Machines The Application of Parallel Architectures to","Illustrates interesting ways in which new parallel hardware is being used to improve the speed and and usefulness of a variety of information systems.        1. Parallel computers 2. Database Management 3. Explore Systems","book","IEEE Computer Society Press","1995","0818665521","hardbound","CS","","1","0",""
