"PaperID","CnfJ","Project","Topic","Description","Title","Year","SoftCopy","HardCopy","Link","Accepted","CondAccepted","Submitted","UndSubmission","InPress","FullPaper","Abstract"
"36","Proceedings of international conferences (full-paper reviewed)","TIDE-CORE","Assistive Technology","In I. Placencia-Porreiro & R.P. de la Bellacasa (Eds), Proceedings of the 2nd TIDE Congress, Paris, France, 26-28 April 1995, pp. 211-214. Amsterdam: IOS Press.","The use of analytical tools in analysing the demand of assistive technology products: the case of Alarm Telephones","1995","TRUE","TRUE","net.ucanaccess.jdbc.UcanaccessBlob@3a60c416","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"37","Proceedings of international conferences (full-paper reviewed)","TIDE-ACCESS","User Interfaces","In I. Placencia-Porreiro & R.P. de la Bellacasa (Eds) Proceedings of the 2nd TIDE Congress, Paris, France, 26-28 April 1995, pp. 167-170. Amsterdam: IOS Press.","Tools for User Interfaces for all","1995","TRUE","TRUE","net.ucanaccess.jdbc.UcanaccessBlob@60f2e0bd","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"38","Proceedings of international conferences (full-paper reviewed)","TIDE-GUIB","Non-Visual Interaction","1995 ACM Conference on Human Factors in Computing Systems (CHI '95), Denver, Colorado, 7-11 May 1995, pp. 244-245 (Companion Proceedings). New York: ACM Press.","Building non-visual interaction through the development of the Rooms metaphor","1995","TRUE","TRUE","net.ucanaccess.jdbc.UcanaccessBlob@469d003c","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"39","Proceedings of international conferences (full-paper reviewed)","","User Interface Design","1995 ACM Conference on Human Factors in Computing Systems (CHI' 95), Denver, Colorado, 7-11 May 1995, pp. 106-113. New York: ACM Press.","Developing Dual User Interfaces for Integrating Blind and Sighted Users: the HOMER UIMS","1995","TRUE","TRUE","net.ucanaccess.jdbc.UcanaccessBlob@6b410923","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"40","Proceedings of international conferences (full-paper reviewed)","RACE","Human-Computer Interaction","RESNA '95 Annual Conference, Vancouver, Canada, 9014 June 1995, pp.464-466. Washington: RESNA Press.","Voice-Tactile Interaction facilitating Blind User Access to an adapted Multimedia Retrieval Application","1995","TRUE","TRUE","net.ucanaccess.jdbc.UcanaccessBlob@e8fadb0","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"41","Proceedings of international conferences (full-paper reviewed)","TIDE-GUIB","Non-Visual Interaction"," RESNA '95 Conference, Vancouver, Canada, 9-14 June 1995, pp. 467-469. Washington: RESNA Press.","Enhancing Non-visual Interaction in a Graphical Environment through a Screen Reader Configuration System","1995","TRUE","TRUE","net.ucanaccess.jdbc.UcanaccessBlob@6d64b553","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"42","Proceedings of international conferences (full-paper reviewed)","","User Interface Design","In Proceedings of RESNA '95 Annual Conference, Vancouver, Canada, 9-14 June 1995, pp. 431-433. Washington: RESNA Press.","Interface Design for Disabled Users: Eliciting User-Centered Constraints","1995","TRUE","TRUE","net.ucanaccess.jdbc.UcanaccessBlob@53667cbe","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"43","Proceedings of international conferences (full-paper reviewed)","","Graphical User Interfaces","In Proceedings of RESNA '95 Annual Conference, Vancouver, Canada, 9-14 June 1995, pp. 458-460. Washington: RESNA Press.","Integrating the Visual and Non-Visual Worlds: Developing User Interfaces","1995","TRUE","TRUE","net.ucanaccess.jdbc.UcanaccessBlob@1d3e6d34","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"44","Poster presentations in international conferences","TIDE-GUIB","User Interface Design","Sixth International Conference on Human-Computer International (HCI International '95), Tokyo, Japan, 9-14 July 1995, pp.86","User-Centered Interface Design: Reusable models and UI Component Repositories","1995","TRUE","TRUE","net.ucanaccess.jdbc.UcanaccessBlob@6eafb10e","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"45","Proceedings of international conferences and workshops (abstract reviewed)","RACE","Accessibility","In Y. Anzai, K. Ogawa & H. Mori (Eds), Symbiosis of Human and Artifact - Future Computing abd Design for Human-Computer Interaction [Proceedings of the 6th International Conference on Human-Computer Interaction (HCI International '95)], Tokyo, Japan, 9-14 July 1995, (vol. 2, pp. 923-928). Amsterdam: Elsevier, Elsevier Science.","INTERACT: An interface builder facilitating access to users with disabilities","1995","TRUE","TRUE","net.ucanaccess.jdbc.UcanaccessBlob@26a94fa5","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"46","Proceedings of international conferences and workshops (abstract reviewed)","TIDE-GUIB","Non-Visual Interaction","In Y. Anzai, K. Ogawa & H. Mori (Eds), Symbiosis of Human and Artifact - Future Computing and Design for Human-Computer Interaction [Proceedings of the 6th International Conference on Human-Computer Interaction (HCI International '95), Tokyo, Japan, 9-14 July 1995, vol. 2. pp. 39-44. Amsterdam: Elsevier, Elsevier Science.","Tailoring Non-Visual Interaction in a Graphical Environment","1995","TRUE","TRUE","net.ucanaccess.jdbc.UcanaccessBlob@464a4442","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"47","Proceedings of international conferences and workshops (abstract reviewed)","TIDE-ACCESS","Modelling","In Y. Anzai, K. Ogawa & H. Mori (Eds), Symbiosis of Human and Artifact - Future Computing and Design for Human-Computer Interaction [Proceedings of the 6th International Conference on Human-Computer Interaction (HCI International '95)], Tokyo, Japan, 9-14 July 1995, vol. 1, pp.1071-1076. Am,sterdam: Elsevier, Elsevier Science.","User Modelling for Adaptable Interface Design","1995","TRUE","TRUE","net.ucanaccess.jdbc.UcanaccessBlob@2873d672","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"48","Proceedings of international conferences and workshops (abstract reviewed)","TIDE-GUIB","User Interfaces","In Y. Anzai, K. Ogawa & H. Mori (Eds), Symbiosis of Human and Artifact - Future Computing and Design for Human-Computer Interaction [Proceedings of the 6th International Conference on Human-Computer Interaction (HCI International '95), Tokyo, Japan, (vol. 2, pp. 929-934). Amsterdam: Slsevier, Elsevier Science.","Supporting Blind and Sighted User Collaboration through Dual User Interfaces using the HOMER System","1995","TRUE","TRUE","net.ucanaccess.jdbc.UcanaccessBlob@3bc735b3","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"49","Proceedings of international conferences and workshops (abstract reviewed)","TIDE-CORE","Human-Computer Interaction","In Y. Anzai, K. Ogawa & H. Mori (Eds), Symbiosis of Human and Artifact- Future Computing and Design for Human-Computer Interaction [Proceedings of the 6th International Conference on Human-Computer Interaction (HCI International ' 95)], Tokyo, Japan, 9-14 July 1995, vol. 1, pp. 717-722. Amsterdam: Elsevier, Elsevier Science.","Query assistance: The Query Interface of CORE shell system","1995","TRUE","TRUE","net.ucanaccess.jdbc.UcanaccessBlob@577f9109","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
