old_topic_id,old_topic_name,new_book_topic_id,source_db
101,Pattern Recognition,7b129e90-7bc7-4627-a983-5eccabbd8171,db1
103,Ergonomics,0f6b36a9-78f1-40c4-84c3-7c1f32fdc0de,db1
104,Management,efc90fec-f132-44fa-9cbb-3271cd2b21f3,db1
106,Visualization,4d3d1621-3e71-44e9-ab13-54f4e81187ba,db1
107,Compilers,d2f6eb52-483d-4960-b9d9-603488b22500,db1
108,Economics,20672395-ae0e-4ea6-8b91-aaf8d7d44261,db1
110,DESQview/X,26f8cb1f-3796-4b80-9bca-653a244a5c39,db1
112,H/W Documentation,585141b6-99bd-46f6-ad41-4092eb0b9a28,db1
113,Microcomputers,b8aea49c-f983-4d5a-8e0b-c5b41ae92af3,db1
114,Research Evaluation,6d53e953-d6f8-476b-af1f-60c5651ea964,db1
115,Data Structures,517332ae-38f1-4e68-97c8-59b13ef87545,db1
116,Telecommunications,fbb75286-6e0e-42dc-baa5-eca91f56d16f,db1
117,PC Tools,1f55b595-04bf-41a3-a4a3-89db94dc73e7,db1
119,BICEPS,4d259d16-bf76-4f5d-b9ec-b9b369894afc,db1
121,TIDE/ACCESS,e57a63ca-f2f8-47ca-9478-c6210df551e2,db1
122,Signal Processing,06c72f02-2776-459f-bb56-3a98c6afa4a7,db1
123,DELTA,645570fb-1156-454c-bd55-b79a9d5df460,db1
125,RISE,d3a5930a-e59f-442c-a92c-ca17743327fd,db1
126,RACE/DRIVE/DELTA/AIM,13c63568-b8ad-49d5-9cea-643850d4c4aa,db1
127,DRIVE,c97b9d17-e4ac-4c51-a0ea-7f8fb8230d17,db1
128,MS-DOS,c42351f7-7f6b-49ba-b268-e0993253e28b,db1
129,Corel Draw,a29cdd81-8f01-4da5-b973-019c316300ff,db1
131,Mouse,e19eb4b1-161b-4241-b865-c605337a73eb,db1
132,Sound Card,77813d78-a632-475a-9b55-0945a00bd800,db1
134,Business,76783465-72c7-41e1-bd73-271395072e32,db1
137,Rehabilitation Engineering,598a0b6b-bc3d-4572-91e2-4056a8ad2165,db1
138,UNIX Operating System,033ead8b-2717-4b30-9413-d9071a9f54b7,db1
139,TIDE/GUIB,f20b7775-11c5-4ed6-a0fb-21081bae9c34,db1
140,Health Care,b1d5bbba-f117-400f-82ee-183060dcb1e2,db1
141,Telematics,b84361ef-889c-4195-bcf6-3b2d32a86819,db1
142,Cognitive Science,25825b98-2f18-4ead-ba69-d381180066d8,db1
143,Windows Programming,d849b04c-b782-4a16-8585-171f5cbb60c3,db1
146,Braille,388cab34-43f9-46c5-a8b9-333b9f609e34,db1
147,Visual Languages,536a4c17-6d9c-45c8-97cd-f96ca694f830,db1
148,Visual Systems,361969ff-1195-40b3-9771-540f8b7411ba,db1
150,Image Processing,3b78f37c-f4e0-4422-9584-4bb7c5101b68,db1
152,Systems Design,09ec18ea-274f-49b4-839c-a905b4dc1c6c,db1
153,Serpent System,7c36f4fa-46a0-4bc0-87ab-7dcf92331786,db1
155,Printers,b4ad9c7b-a6e8-48cf-b08b-c28d1dabc44f,db1
157,ICAP Directory,8bd79666-3e71-443a-ae86-2e5c1cc591df,db1
158,Software Management,8939e802-978e-4f79-993c-aefa19b3a6e2,db1
159,Systems Engineering,26f768d3-5ea3-4ce9-805a-c0383a018fa5,db1
161,Mathematics,1e01da97-c926-475f-8bf1-3e78b2ca41bf,db1
164,Authorware,dc22e5ae-a0b3-42d1-83ec-87d7cfe964d1,db1
165,Backup,73faa91b-46cd-4179-aaa4-fddeec0164a1,db1
166,Digital Systems,baed4683-f8a2-47e3-b439-c2f3a0046be0,db1
168,Modem,777c9fcf-36fd-4ef8-a6ff-f357762968ec,db1
169,Microsoft Visual C,8b0cc7c4-f068-4f30-8d29-088846448487,db1
170,Microsoft Windows,d7fbde4d-10f1-4e6d-857b-6692d1ea05e8,db1
171,Microsoft MASM,c5be4792-e339-4d62-9cc4-3764369ef12d,db1
173,Microsoft Visual C++,9409a318-bf41-4d67-9027-6a798c49b6b1,db1
174,Microsoft Visual Basic,a899fa12-6ed6-4286-8c23-bca8d73123ab,db1
175,Microsoft Windows NT,360b0f67-30e1-4e03-883d-6f8b9e4def7e,db1
177,S/W Documentation,2fef47e6-3881-417c-b131-b2f31e944868,db1
179,RTLink/Plus,39c1c805-337f-4c12-ac01-fd1bd3b0a432,db1
