BookID,BooksReaderID,DateIssued,ReaderID,ReturnedDate,Type
3335,551,2002-07-01 00:00:00.0,10,,copy
3336,552,2002-07-01 00:00:00.0,10,,copy
3325,555,2002-07-18 00:00:00.0,43,,photocopy
3342,558,2002-07-23 00:00:00.0,37,,copy
3344,560,2002-07-24 00:00:00.0,78,,copy
3346,562,2002-08-23 00:00:00.0,42,,photocopy
3346,564,2002-08-23 00:00:00.0,22,,copy
3347,565,2002-08-26 00:00:00.0,21,,copy
3318,566,2002-08-29 00:00:00.0,23,,photocopy
3318,568,2002-08-29 00:00:00.0,42,,photocopy
3378,583,2003-01-20 00:00:00.0,11,,copy
3377,584,2003-01-20 00:00:00.0,11,,copy
3376,585,2003-01-20 00:00:00.0,11,,copy
3374,586,2003-01-20 00:00:00.0,11,,copy
3373,587,2003-01-20 00:00:00.0,11,,copy
3372,588,2003-01-20 00:00:00.0,11,,copy
3391,592,2003-02-06 00:00:00.0,8,,copy
3390,593,2003-02-06 00:00:00.0,8,,copy
3300,595,2003-02-14 00:00:00.0,37,,copy
3344,606,2003-03-05 00:00:00.0,97,,copy
3093,629,2003-09-22 00:00:00.0,42,,copy
3087,630,2003-09-22 00:00:00.0,42,,copy
3119,631,2003-09-22 00:00:00.0,42,,copy
3122,632,2003-09-22 00:00:00.0,42,,copy
3082,633,2003-09-22 00:00:00.0,42,,copy
3088,634,2003-09-22 00:00:00.0,42,,copy
3457,637,2003-01-14 00:00:00.0,23,,photocopy
3457,639,2004-01-14 00:00:00.0,94,,photocopy
2659,643,2004-03-23 00:00:00.0,42,,photocopy
3462,645,2004-03-24 00:00:00.0,22,,copy
3463,646,2004-03-24 00:00:00.0,22,,copy
3468,651,2004-07-14 00:00:00.0,42,,copy
3468,652,2004-07-14 00:00:00.0,102,,copy
1176,658,2004-10-25 00:00:00.0,111,,copy
111,659,2004-10-25 00:00:00.0,111,,copy
2904,660,2004-10-25 00:00:00.0,111,,copy
2194,661,2004-10-25 00:00:00.0,111,,copy
1103,662,2004-10-25 00:00:00.0,111,,copy
1093,663,2004-10-25 00:00:00.0,111,,copy
2019,664,2004-10-25 00:00:00.0,111,,copy
176,665,2004-10-25 00:00:00.0,111,,copy
1876,666,2004-10-25 00:00:00.0,111,,copy
2623,667,2004-10-25 00:00:00.0,111,,copy
2624,668,2004-10-25 00:00:00.0,111,,copy
466,669,2004-10-25 00:00:00.0,111,,copy
1585,670,2004-10-25 00:00:00.0,111,,copy
2619,671,2004-10-25 00:00:00.0,111,,copy
