Abstract,Accepted,CnfJ,CondAccepted,Description,FullPaper,HardCopy,InPress,Link,PaperID,Project,SoftCopy,Submitted,Title,Topic,UndSubmission,Year
false,false,ics-forth technical reports,false,"ics-forth / tr 111, december 1993, heraklion, crete, greece 57 pages. [on-line]. available at: ftp://ftp.ics.forth.gr/tech-reports/1993/1993.tr111.interaction_techniques_b-isdn_environment.ps.gz",false,true,false,,105,race,false,false,a methodology for selecting interaction techniques for users with disabilities in the context of the b-isdn environment,accessibility,false,1993
false,false,ics-forth technical reports,false,"ics-forth / tr 112, december 1993, 179 pages. [on-line]. available at: ftp.ics.forth.gr/tech-reports/1993/1993.tr112.ui_design_model_based_approach.ps.gz",false,true,false,,106,tide-guib,false,false,integrating able and disabled users in the user interface design process,user interface design,false,1993
false,false,ics-forth technical reports,false,"ics-forth / tr 180, november 1996, 28 pages. [on-line] available at: ftp.ics.forth.gr/tech-reports/1996/1996.tr180.lexical_knowledge_communication_aids.ps.gz",false,true,false,,107,tide-access,false,false,"the ""user vocabulary and meaning mapping module"": a lexical knowledge base for communication aids",communication aids,false,1996
false,false,other technical reports,false,"internal report on final year undergraduate project, university of kent, u.k., 119 pages.",false,true,false,,114,,false,false,a pilot study on a data acquisition and pattern recognition system for use in the analysis of 24-hour electrocardiogram tape recordings,pattern recognition,false,1981
false,false,other technical reports,false,"ph.d. thesis, university of kent, u.k., 296 pages.",false,true,false,,115,,false,false,a study of methodologies of information technology in the provision of communication aids for the speech impaired,communication aids,false,1986
false,false,other technical reports,false,"technical report in the framework of the helios-handynet study group on images and graphics, cec - dg v, brussels, belgium, december 1991, 8 pages",false,true,false,net.ucanaccess.jdbc.ucanaccessblob@6fe46b62,116,handynet,true,false,multimedia presentation of information in an intelligent information system,multimedia systems,false,1991
false,false,other technical reports,false,"technical report in the framework of the helios-handynet study group on special interfaces for visually impaired and severely motor disabled persons, brussels, belgium, december 1991, 10 pages",false,true,false,net.ucanaccess.jdbc.ucanaccessblob@591fd34d,117,handynet,true,false,accessibility of handy-station by visually impaired people,accessibility,false,1991
false,false,other technical reports,false,"2nd yearly report ceu cost 219 wg4-5 technology trends, june 1994, 3 pages.",false,true,false,,118,cost 219,false,false,man-machine interfaces,human-computer interaction,false,1994
false,false,other technical reports,false,"εκλογή θεμάτων κοινωνικής πρόνοιας, τριμηνιαία περιοδική εκδοση, εππσκε, αρ. 93, ιούνιος 1992, σελ 158-162.",false,true,false,,119,handynet,false,false,το ευρωπαϊκό σύστημα πληροφόρησης handynet στην ελλάδα,,false,1992
false,false,white papers,false,"sponsored by the ec dgxii concerted action programme on technology and blindness of the comac-bme, rnib, uk, may  1991, 68 pages. isbn: 0-901797-64-2.",false,true,false,,120,concerted action programme (comac-bme),false,false,access to graphical user interfaces by blind people,graphical user interfaces,false,1991
false,false,white papers,false,"brussels, belgium: ec dg xiii  cost 219 programme, january 1994, 58 pages. [on-line]. available at: http://www.stakes.fi/cost219/cosc310.html",false,true,false,,121,cost 219,false,false,universal access to telecommunication services in europe - the guy gobut report.,telecommunication services,false,1994
