AuthorID,BookAuthorID,BookID
1318,7,22
0,8,23
0,9,24
2500,10,25
1318,11,26
989,12,27
2595,13,18
2573,14,28
2574,15,28
2596,16,29
2597,17,30
2598,18,30
2594,19,31
2575,20,32
623,21,32
2576,22,33
2577,23,34
2578,24,35
2580,25,36
2581,26,37
0,27,38
2582,28,39
2583,29,40
2584,30,40
2585,31,41
2586,32,42
2587,33,43
2588,34,43
2589,35,44
2590,36,45
2591,37,45
2588,38,46
2593,39,46
2611,40,47
2612,41,47
750,42,48
1903,43,48
858,44,49
2440,45,50
2441,46,50
2442,47,50
2443,48,50
2613,49,51
2614,50,51
2615,51,52
2616,52,53
2617,53,53
2618,54,54
1529,55,55
2619,56,56
2620,57,56
2621,58,57
2622,59,58
2623,60,58
1172,61,59
2624,62,60
2547,63,61
2625,64,61
2626,65,62
2627,66,62
2628,67,63
473,68,64
1172,69,64
2629,70,65
190,71,65
2630,72,65
2631,73,65
2632,74,66
2634,75,67
2635,76,67
2636,77,67
2637,78,68
2638,79,68
2639,80,68
1318,81,69
2640,82,70
1318,83,71
0,84,72
2641,85,73
2642,86,73
1195,87,74
2420,88,75
2643,89,76
2644,90,76
2645,91,76
1021,92,77
2646,93,78
2661,94,79
2662,95,79
2663,96,80
2661,97,80
2664,98,81
2664,99,82
2665,100,83
2209,101,84
183,102,84
183,103,85
2694,104,86
2695,105,87
2696,106,87
1136,107,88
1394,108,88
633,109,89
2697,110,89
2698,111,89
2699,112,90
2700,113,91
2701,114,91
2361,115,92
2702,116,93
2703,117,93
2704,118,94
2543,119,94
2705,120,95
2361,121,96
2360,122,96
2706,123,96
841,124,97
2707,125,97
2708,126,98
2709,127,98
2710,128,99
2711,129,99
2712,130,99
2713,131,100
2714,132,100
2360,133,101
2706,134,101
2668,135,102
2361,136,102
2715,137,103
2361,138,103
2715,139,104
2716,140,104
1032,141,105
2753,142,106
2754,143,106
2752,144,107
2768,145,108
2769,146,109
2770,147,110
2771,148,111
2772,149,112
2773,150,112
2776,151,113
2777,152,113
2778,153,114
678,154,115
286,155,117
1720,156,117
1721,157,117
1722,158,117
2796,159,118
2797,160,119
2798,161,119
2799,162,120
2651,163,120
2805,164,122
2814,165,123
2815,166,123
2816,167,124
2817,168,125
2818,169,125
2819,170,125
2387,171,125
2821,172,126
2822,173,126
2823,174,126
2824,175,126
2825,176,127
2826,177,128
2827,178,129
2828,179,129
2829,180,130
2830,181,130
2831,182,131
983,183,131
2833,184,131
2834,185,132
2835,186,132
2836,187,133
2854,188,139
2550,189,139
2855,190,140
2360,191,140
1538,192,141
2856,193,141
2857,194,142
2858,195,142
2859,196,142
2921,197,142
2671,198,143
2672,199,143
2673,200,143
2861,201,144
2862,202,144
2863,203,145
2864,204,145
2865,205,146
2226,206,147
2866,207,147
2867,208,147
2868,209,148
2869,210,149
2870,211,150
2871,212,151
2872,213,152
2873,214,152
2524,215,153
2874,216,154
2875,217,155
2876,218,156
2877,219,157
2404,220,158
2878,221,159
2879,222,160
2880,223,161
2881,224,161
2882,225,162
750,226,163
750,227,164
750,228,165
1903,229,165
2579,230,35
2633,231,66
2883,232,166
2884,233,167
2885,234,168
2886,235,168
2887,236,169
2888,237,169
2889,238,170
2890,239,171
2891,240,172
2892,241,172
2976,242,173
2894,243,174
2896,245,176
2894,246,176
2897,247,177
2898,248,178
2899,249,179
2900,250,180
2901,251,181
2902,252,182
2903,253,182
2904,254,183
2905,255,183
2906,256,184
2907,257,185
2908,258,186
525,259,187
488,260,188
2613,261,189
2614,262,189
1797,263,190
2909,264,191
2910,265,192
2911,266,193
2912,267,194
2932,268,195
2914,269,195
2915,270,196
2917,271,196
2918,272,196
2919,273,196
2920,274,197
2922,275,158
2923,276,162
2925,277,198
2926,278,198
2927,279,198
2928,280,198
2934,281,199
2948,282,200
2949,283,200
2950,284,200
2951,285,201
2952,286,202
1760,287,202
2955,288,202
249,289,203
2956,290,203
2957,291,205
2829,292,206
2958,293,207
3000,294,208
2829,295,209
2830,296,209
2995,297,210
2961,298,210
2962,299,210
172,300,212
1436,301,212
1021,302,212
2999,303,213
3003,304,214
3004,305,214
753,306,215
3049,307,216
3049,308,217
2769,309,218
492,310,219
2351,311,219
2779,312,219
1680,313,220
3013,314,221
3014,315,222
3030,316,223
3038,317,224
3039,318,224
