source_db,old_topic_id,old_topic_name,new_book_topic_id
db1,101,Pattern Recognition,7564c856-3725-4dd6-a47d-9174fa592589
db1,103,Ergonomics,7a09bb5e-5990-4056-812d-d27c3f75f321
db1,104,Management,0dec2d6d-505e-490b-8075-592eb6cf5a5e
db1,106,Visualization,43c52a9f-9a14-4bae-80cb-572d8ffec7ce
db1,107,Compilers,9c7bc197-3568-41ee-8535-0646abcb7184
db1,108,Economics,41919c2a-26be-491f-aa17-c233d632a6ae
db1,110,DESQview/X,0310bf8b-b47a-495d-baff-7491c05e8bc7
db1,112,H/W Documentation,2649d07f-80ec-4d94-a25d-63ce64ce2127
db1,113,Microcomputers,6386d7ab-e8c4-401c-9a7f-db44e54ca5fe
db1,114,Research Evaluation,11cd4f37-218c-4694-859b-5a8a072e5ccd
db1,115,Data Structures,f711241d-b483-4ce6-8431-cdbf2087d3be
db1,116,Telecommunications,cc436c83-8582-4313-9cbf-e39462ad2133
db1,117,PC Tools,c18764be-8cdb-4e9d-8782-d910acc936b2
db1,119,BICEPS,17caac4a-2dae-4964-9ae2-523aada74016
db1,121,TIDE/ACCESS,776a297e-9c46-4b29-a9f5-79ab0bc7b7c1
db1,122,Signal Processing,f0a5ee8a-3998-4a9f-ae7f-d2bd56749e03
db1,123,DELTA,1404ccda-c34c-4bf7-a9b4-03d632ff1ba2
db1,125,RISE,54caf71b-dc12-403c-8912-6d56b9659832
db1,126,RACE/DRIVE/DELTA/AIM,67b5aab7-ee97-4b31-af6c-9fc798e5b10b
db1,127,DRIVE,587a77b6-71ba-4f4d-97d4-74b64b286cc3
db1,128,MS-DOS,a617a09e-0b03-4200-b2f9-4c11abbefb17
db1,129,Corel Draw,e3687357-fe30-461d-b21f-50f0782d00ad
db1,131,Mouse,51df966c-ed1c-49a0-a017-ff9a9b49cebb
db1,132,Sound Card,5551c98b-210e-49ae-a394-9bf0c6213491
db1,134,Business,6a739da0-5879-4a32-90fc-254ad830714b
db1,137,Rehabilitation Engineering,a59cc955-b0c3-40ea-bf9b-4b9390de75cd
db1,138,UNIX Operating System,f25fec45-fbe7-4248-8b76-a0ab9ba62ee1
db1,139,TIDE/GUIB,f3d1a6d0-7106-491c-82a6-18afc371abdd
db1,140,Health Care,17be1266-2a06-4986-9bfc-d38610929547
db1,141,Telematics,1bb8fb9d-87df-45f3-a34f-0f68bf35d6d4
db1,142,Cognitive Science,3b30f12e-e56a-4205-9787-aafef5dd6345
db1,143,Windows Programming,24d036fc-458f-4fe2-bf62-56c38d0fc03c
db1,146,Braille,67aebdb7-2fe4-45e6-ae54-3f8b173ff727
db1,147,Visual Languages,eca4e2fb-a181-4467-8f9f-2fc253911407
db1,148,Visual Systems,c50935c6-5dc3-481f-9a25-8e73fd4c63c2
db1,150,Image Processing,5c2c4c9f-b861-401e-bf56-5def3779342f
db1,152,Systems Design,0861d5af-cf39-46d4-bd41-e9c6eb92ac4f
db1,153,Serpent System,44f27043-495d-4853-96e2-b900c34c5cc8
db1,155,Printers,28f15e4a-c35b-468e-8a62-4a67ce0dd108
db1,157,ICAP Directory,36c55212-14e7-4fc1-8fd6-eba5076cd7a1
db1,158,Software Management,f792ff14-4337-4403-a76d-b11d8d99e78b
db1,159,Systems Engineering,e126d412-10a2-474f-a8e0-14173659fc5f
db1,161,Mathematics,7a161ae4-7fbd-4d7d-9338-639f53d151ae
db1,164,Authorware,ab2eb71c-b2ae-49d2-8e0d-73b575674ade
db1,165,Backup,543bb951-710c-4574-9255-104208a9c621
db1,166,Digital Systems,2bac5d03-0f68-4de2-9831-ef068aa4ec76
db1,168,Modem,694e7809-7af6-42c9-a60e-e066c86f938d
db1,169,Microsoft Visual C,197fd867-26c0-4da9-b376-88436dbb0b88
db1,170,Microsoft Windows,0ee778b6-4788-4a5a-a864-dec8d6185038
db1,171,Microsoft MASM,a2acc9ae-a892-41cf-a099-9d186fb28f20
db1,173,Microsoft Visual C++,5729ff1f-3ca0-48ae-a547-3cf01d19a687
db1,174,Microsoft Visual Basic,994c3b61-32ba-4a03-b65a-0289ce20cc3d
db1,175,Microsoft Windows NT,f58d3f0b-3dd4-4efa-bb08-36f0f544666e
